ID,Prediction
1,1.7086
2,0.38668
3,0.0067025
4,0.1913
5,0.0067025
6,0.79126
7,0.0067025
8,0.71485
9,2.2946
10,0.1913
11,0.21697
12,0.98542
13,0.0067025
14,0.50188
15,0.079486
16,0.0067025
17,0.046606
18,1.4161
19,0.0067025
20,0.079486
21,1.2471
22,0.079486
23,0.0067025
24,0.6344
25,0.55943
26,0.38668
27,0.079486
28,0.38668
29,0.44166
30,1.1874
31,1.4487
32,0.0067025
33,2.081
34,0.28283
35,0.36832
36,0.0067025
37,0.21697
38,0.28283
39,0.0067025
40,1.0212
41,0.41812
42,0.13924
43,0.068443
44,0.0067025
45,2.2946
46,0.14063
47,1.7086
48,0.28283
49,1.0212
50,0.28283
51,0.046606
52,0.71485
53,0.0067025
54,0.71485
55,0.38512
56,0.010606
57,0.44166
58,0.010606
59,0.1913
60,0.55943
61,0.0067025
62,0.60116
63,1.1874
64,0.41812
65,1.7175
66,0.068443
67,0.71485
68,0.55943
69,0.0067025
70,0.55943
71,0.32649
72,1.2448
73,1.0479
74,0.36832
75,0.0067025
76,0.44166
77,0.21697
78,0.38668
79,0.0067025
80,0.71485
81,0.0067025
82,0.079486
83,0.60116
84,0.068443
85,1.4487
86,0.046606
87,0.0067025
88,1.4161
89,0.65592
90,0.21697
91,0.046606
92,0.13924
93,0.0067025
94,2.6458
95,1.2471
96,0.5
97,0.50188
98,1.1874
99,0.068443
100,1.2448
101,0.65592
102,0.0067025
103,0.32649
104,0.0067025
105,1.2471
106,0.0067025
107,0.0067025
108,0.55943
109,0.46074
110,0.44166
111,0.71485
112,0.71485
113,0.32986
114,0.38512
115,1.0212
116,0.71485
117,0.0067025
118,0.0067025
119,2.081
120,1.8604
121,0.21697
122,0.46074
123,1.3362
124,0.010606
125,0.44166
126,1.0212
127,0.60116
128,0.0067025
129,0.0067025
130,0.47412
131,0.44166
132,0.0067025
133,0.1913
134,0.13924
135,0.99692
136,0.81636
137,0.6344
138,1.4487
139,2.2946
140,0.79126
141,0.010606
142,1.0212
143,0.65592
144,1.4487
145,1.3362
146,0.60116
147,0.0067025
148,0.28283
149,0.1913
150,1.2471
151,0.50188
152,0.22325
153,0.0067025
154,0.13924
155,0.21697
156,0.46074
157,0.88699
158,0.79126
159,0.79126
160,0.88699
161,1.7333
162,1.3084
163,0.44166
164,0.32649
165,0.44166
166,0.79126
167,0.0067025
168,2.2946
169,0.010606
170,0.44166
171,0.38668
172,0.0067025
173,1.0705
174,0.13924
175,1.7086
176,0.21697
177,0.0067025
178,0.0067025
179,0.36832
180,0.22195
181,1.3362
182,0.0067025
183,0.0067025
184,1.0705
185,1.2471
186,1.1874
187,0.64769
188,0.46074
189,0.32986
190,0.21697
191,0.0067025
192,0.5
193,1.1874
194,1.4487
195,0.55943
196,1.0705
197,0.65592
198,0.38668
199,0.1913
200,0.21697
201,0.0067025
202,0.14063
203,0.13924
204,0.71485
205,0.71485
206,0.47412
207,0.6344
208,0.71485
209,0.079486
210,0.22325
211,0.21697
212,0.21697
213,0.44166
214,0.21697
215,0.55943
216,1.7086
217,1.0705
218,0.38512
219,0.38668
220,0.47412
221,0.55943
222,0.1913
223,0.079486
224,0.32649
225,0.0067025
226,0.55943
227,0.0067025
228,0.0067025
229,0.60116
230,1.0705
231,0.71485
232,0.046606
233,0.1913
234,1.4487
235,1.7086
236,0.0067025
237,0.47412
238,0.0067025
239,2.2946
240,0.71485
241,0.046606
242,0.71485
243,0.88699
244,0.44166
245,0.079486
246,0.44166
247,0.47412
248,0.71485
249,0.079486
250,1.0212
251,0.0067025
252,0.79126
253,0.010606
254,1.2471
255,0.71485
256,1.1874
257,0.22325
258,1.1874
259,0.38668
260,0.0067025
261,1.7175
262,0.71485
263,0.71485
264,0.44166
265,1.7333
266,0.71485
267,0.079486
268,0.0067025
269,0.0067025
270,0.44166
271,1.3362
272,0.22195
273,0.55943
274,0.50188
275,0.13924
276,0.0067025
277,0.98542
278,0.99692
279,0.0067025
280,0.0067025
281,1.4161
282,2.081
283,0.71485
284,0.14063
285,0.28283
286,1.4487
287,1.3362
288,0.22325
289,0.13924
290,0.65592
291,0.36832
292,0.38668
293,0.068443
294,2.2946
295,1.1874
296,0.44166
297,0.0067025
298,1.3084
299,1.0479
300,0.79126
301,1.3084
302,1.0212
303,1.1874
304,1.3362
305,0.010606
306,0.0067025
307,0.28283
308,0.0067025
309,0.55943
310,0.21697
311,1.3084
312,2.081
313,1.7086
314,0.22195
315,0.32649
316,0.046606
317,0.47412
318,0.64769
319,0.22195
320,0.38668
321,0.010606
322,0.47412
323,0.0067025
324,0.98542
325,1.4487
326,0.0067025
327,0.56723
328,0.079486
329,1.4226
330,0.068443
331,1.3362
332,1.2471
333,0.14063
334,1.0479
335,0.1913
336,0.78677
337,0.21697
338,0.44166
339,1.3362
340,0.44166
341,0.71485
342,0.36832
343,0.44166
344,0.64769
345,0.21697
346,0.97529
347,0.079486
348,0.0067025
349,0.55943
350,0.21697
351,0.79126
352,1.3362
353,0.55943
354,0.079486
355,1.7086
356,0.0067025
357,0.0067025
358,1.0018
359,1.8604
360,0.44166
361,0.79126
362,0.010606
363,0.88699
364,0.0067025
365,0.21697
366,2.081
367,0.79126
368,0.44166
369,0.0067025
370,0.0067025
371,0.56723
372,0.38668
373,0.21697
374,0.56723
375,1.4487
376,0.0067025
377,0.78677
378,0.56723
379,0.079486
380,0.1913
381,1.2448
382,0.81636
383,0.79126
384,0.5
385,0.47412
386,0.71485
387,0.71485
388,0.010606
389,0.13924
390,0.79126
391,1.3084
392,0.81636
393,0.44166
394,1.8604
395,1.4487
396,0.46074
397,0.0067025
398,1.2471
399,0.98542
400,0.38668
401,0.0067025
402,0.0067025
403,0.6344
404,0.21697
405,0.0067025
406,0.79126
407,0.79126
408,0.0067025
409,0.0067025
410,0.0067025
411,0.56723
412,1.7175
413,0.44166
414,1.1874
415,0.1913
416,0.0067025
417,1.0212
418,0.0067025
419,0.79126
420,0.47412
421,0.1913
422,1.4487
423,0.010606
424,1.8604
425,0.47412
426,0.010606
427,0.38512
428,0.55943
429,0.22195
430,0.44166
431,0.44166
432,0.32649
433,0.13924
434,0.71485
435,1.1874
436,1.0212
437,0.0067025
438,0.79126
439,1.8604
440,0.71485
441,0.79126
442,0.0067025
443,0.55943
444,2.081
445,1.0479
446,0.64769
447,1.0705
448,1.8604
449,0.38668
450,0.28283
451,0.97529
452,0.010606
453,0.38668
454,1.1874
455,0.81636
456,1.3362
457,0.60116
458,0.0067025
459,0.36832
460,0.47412
461,0.0067025
462,0.010606
463,1.1874
464,1.7086
465,0.71485
466,0.32986
467,1.1874
468,0.0067025
469,1.3084
470,0.0067025
471,0.71485
472,0.13924
473,1.7086
474,0.71485
475,1.3084
476,1.3362
477,0.60116
478,0.068443
479,0.47412
480,0.50188
481,0.38668
482,0.47412
483,0.6344
484,0.64769
485,0.81636
486,0.38512
487,0.56723
488,1.2471
489,0.0067025
490,0.21697
491,0.65592
492,0.5316
493,0.0067025
494,0.0067025
495,0.13924
496,0.079486
497,1.7086
498,0.60116
499,1.1874
500,0.47412
501,1.0212
502,1.1874
503,1.7086
504,0.71485
505,0.0067025
506,2.2946
507,1.0212
508,0.010606
509,0.81636
510,1.3084
511,0.44166
512,0.44166
