ID,Prediction
1,1.9464
2,0.63878
3,-0.15444
4,0.27167
5,0.11384
6,0.55486
7,-0.1383
8,0.76562
9,1.6711
10,0.41126
11,0.4479
12,0.6262
13,0.080741
14,0.815
15,-0.10486
16,-0.0019342
17,0.26019
18,0.86591
19,-0.089082
20,0.33188
21,1.3833
22,-0.091779
23,-0.075484
24,0.6881
25,0.59123
26,0.60578
27,0.029757
28,0.6121
29,1.1673
30,1.0408
31,1.3488
32,0.16032
33,1.4039
34,0.49228
35,0.49116
36,0.12325
37,0.53567
38,-0.054016
39,0.061927
40,0.82216
41,0.87204
42,0.31441
43,0.47238
44,-0.27263
45,1.1788
46,0.43082
47,1.6417
48,0.15012
49,1.02
50,0.73602
51,0.2121
52,0.83322
53,0.16889
54,0.61361
55,0.23805
56,-0.14167
57,0.29349
58,-0.15602
59,0.27711
60,0.4185
61,-0.29433
62,0.71726
63,1.0524
64,0.66177
65,2.0275
66,-0.022593
67,1.1859
68,1.2234
69,0.050881
70,0.74166
71,0.15569
72,1.3115
73,1.2366
74,0.34547
75,-0.12993
76,0.39696
77,0.1857
78,0.75755
79,0.038584
80,1.2758
81,-0.35
82,-0.15545
83,0.49944
84,0.24605
85,1.6026
86,-0.14397
87,-0.19514
88,1.2086
89,1.0909
90,0.36721
91,-0.053619
92,0.14603
93,-0.48757
94,1.9885
95,1.1453
96,0.48786
97,0.43936
98,1.2551
99,0.34845
100,1.5977
101,0.86326
102,-0.1572
103,0.26969
104,0.11137
105,1.5791
106,-0.0037244
107,-0.30248
108,0.83716
109,0.29877
110,0.54351
111,0.83965
112,0.63301
113,0.18558
114,0.3505
115,0.75794
116,1.0621
117,-0.13751
118,0.27243
119,1.7308
120,1.1249
121,0.061136
122,0.47293
123,1.189
124,-0.071712
125,0.047364
126,1.0575
127,0.75507
128,0.061722
129,-0.096392
130,0.45541
131,0.68849
132,-0.18132
133,0.15625
134,0.20498
135,1.3468
136,0.78665
137,0.96441
138,1.0572
139,1.6911
140,0.80401
141,-0.20542
142,0.84222
143,0.63251
144,1.518
145,1.5149
146,0.55681
147,-0.029031
148,0.41787
149,0.23768
150,1.4468
151,0.68674
152,0.26506
153,0.030751
154,0.24022
155,0.27922
156,0.16081
157,0.97911
158,1.3493
159,0.58094
160,0.84842
161,1.5395
162,1.2523
163,0.32549
164,0.55998
165,0.17803
166,0.26044
167,-0.099838
168,1.302
169,-0.13651
170,0.65276
171,0.48089
172,-0.1115
173,0.94659
174,0.68566
175,1.7192
176,0.58129
177,0.05582
178,-0.33365
179,0.44945
180,0.37505
181,0.62848
182,0.014364
183,0.33502
184,0.95186
185,1.4111
186,1.3261
187,0.51928
188,0.36146
189,0.4657
190,0.10755
191,0.07119
192,0.49021
193,1.42
194,1.8014
195,0.66061
196,1.2238
197,0.65451
198,0.23369
199,0.55344
200,0.24418
201,-0.18212
202,0.44066
203,0.14996
204,0.78236
205,0.5819
206,0.514
207,1.2228
208,0.77413
209,-0.10822
210,0.11952
211,0.26353
212,0.15099
213,0.58859
214,0.17189
215,0.72562
216,1.7315
217,1.2308
218,0.16993
219,0.31084
220,0.29301
221,0.86835
222,0.29938
223,0.021208
224,0.34353
225,0.051645
226,0.62295
227,0.0074904
228,0.054858
229,0.65036
230,0.95749
231,0.66265
232,0.041117
233,0.36037
234,1.5305
235,1.431
236,-0.42271
237,0.67784
238,-0.061858
239,1.7085
240,1.4318
241,0.016722
242,0.75779
243,1.0841
244,0.29171
245,-0.12305
246,0.16122
247,0.31994
248,1.003
249,-0.14395
250,0.81462
251,0.064803
252,0.78733
253,-0.020959
254,1.4228
255,0.88711
256,0.89612
257,0.35809
258,1.3215
259,0.33454
260,-0.24982
261,1.751
262,1.1033
263,0.99308
264,0.30261
265,1.9297
266,0.76512
267,0.49917
268,-0.47837
269,0.18884
270,0.4361
271,1.2386
272,0.015075
273,0.58114
274,1.0747
275,0.26049
276,-0.35776
277,1.3667
278,0.62978
279,-0.26653
280,-0.24297
281,1.0043
282,1.5823
283,0.66841
284,0.30642
285,0.38298
286,1.0775
287,1.1407
288,0.77176
289,0.1394
290,1.0687
291,0.010011
292,0.63446
293,0.30424
294,1.7748
295,1.3279
296,0.44582
297,0.017651
298,1.5303
299,1.0471
300,0.81704
301,0.97231
302,0.96787
303,0.79046
304,1.0298
305,-0.27736
306,-0.11511
307,0.073981
308,-0.016795
309,0.91361
310,0.55211
311,1.2667
312,1.541
313,1.4629
314,0.049496
315,0.41556
316,0.17457
317,0.66395
318,0.8532
319,0.28329
320,0.59325
321,-0.23686
322,0.34565
323,0.18921
324,0.8925
325,1.1844
326,-0.068704
327,0.54847
328,0.10742
329,1.6762
330,0.16178
331,1.5
332,1.1923
333,0.46213
334,1.1095
335,0.27568
336,0.53091
337,0.37932
338,0.17247
339,1.2798
340,0.35445
341,0.57458
342,0.29245
343,0.04203
344,0.78799
345,0.17971
346,0.96321
347,0.15079
348,-0.0091597
349,0.62359
350,0.10866
351,0.60285
352,0.95703
353,0.83333
354,-0.22101
355,1.6194
356,-0.032738
357,-0.32322
358,0.8968
359,1.7101
360,0.24432
361,1.5577
362,-0.053256
363,0.60351
364,0.00038799
365,0.3191
366,1.8547
367,0.48694
368,0.6712
369,-0.024298
370,-0.21396
371,0.87256
372,0.56343
373,0.3563
374,0.62781
375,1.0661
376,0.2024
377,0.44261
378,0.68489
379,-0.11909
380,0.12931
381,0.80004
382,0.98594
383,0.27798
384,0.98345
385,0.15357
386,0.86073
387,1.1042
388,-0.098223
389,0.057719
390,0.72924
391,1.1702
392,1.1159
393,0.4253
394,1.3968
395,1.2343
396,0.72402
397,0.318
398,1.4922
399,1.1807
400,0.47914
401,-0.10842
402,-0.12989
403,0.40201
404,0.47412
405,-0.099507
406,0.30398
407,0.55773
408,-0.022231
409,0.011103
410,-0.2981
411,0.47699
412,1.4648
413,0.65509
414,0.95557
415,0.075138
416,0.096753
417,0.72044
418,0.015064
419,1.3916
420,0.49863
421,0.19149
422,1.4447
423,-0.0029211
424,1.5747
425,0.37326
426,-0.11048
427,0.17996
428,0.35979
429,0.12329
430,0.97586
431,0.46867
432,0.094469
433,-0.0048483
434,0.55532
435,1.2048
436,1.1083
437,0.27078
438,0.44554
439,1.4577
440,0.6544
441,1.291
442,-0.012942
443,0.38503
444,1.7472
445,0.80775
446,0.64445
447,0.77009
448,1.293
449,0.39807
450,0.32443
451,1.4435
452,-0.021348
453,0.61373
454,1.3638
455,1.0435
456,0.98592
457,0.57422
458,0.0018838
459,0.42042
460,0.59326
461,-0.00514
462,-0.070807
463,1.1414
464,1.3913
465,0.93169
466,0.44869
467,1.2879
468,-0.020776
469,1.2291
470,0.049417
471,1.0045
472,0.46217
473,1.6009
474,0.65783
475,1.2809
476,1.5973
477,1.1186
478,0.26382
479,0.36527
480,0.74291
481,0.48269
482,0.96739
483,0.98484
484,0.788
485,0.9334
486,0.21063
487,1.0398
488,1.7646
489,0.12568
490,0.043227
491,0.58822
492,0.77352
493,0.044913
494,-0.16003
495,-0.06135
496,-0.19325
497,1.1586
498,0.54538
499,0.93094
500,0.13999
501,1.23
502,1.1519
503,1.1609
504,0.64211
505,-0.15685
506,1.7353
507,0.56969
508,-0.064646
509,0.89379
510,1.2907
511,0.45454
512,0.45107
513,0.43593
514,0.14608
515,0.96534
516,-0.14679
517,0.067727
518,0.97339
519,0.97273
520,0.64333
521,0.37845
522,0.4351
523,0.044008
524,0.58108
525,0.692
526,0.99976
527,1.9806
528,0.93587
529,0.73157
530,1.1699
531,0.4022
532,0.37095
533,1.5397
534,-0.18116
535,-0.039246
536,1.1148
537,0.86853
538,0.43629
539,-0.14241
540,1.2536
541,0.20482
542,0.85555
543,-0.12097
544,1.7997
545,0.46155
546,0.66779
547,0.037477
548,1.4244
549,-0.13882
550,1.0958
551,0.77421
552,0.69812
553,-0.050614
554,0.62999
555,0.49992
556,0.63998
557,0.76162
558,0.65835
559,-0.018513
560,0.12707
561,1.1813
562,0.22411
563,-0.093833
564,0.32707
565,1.4628
566,2.0735
567,1.2184
568,1.4396
569,0.085872
570,0.34025
571,0.17204
572,1.5829
573,0.99706
574,-0.0083592
575,-0.1665
576,-0.024004
577,0.94512
578,0.54254
579,0.80196
580,0.59474
581,-0.050184
582,0.77225
583,0.68775
584,0.33204
585,-0.095006
586,0.90518
587,-0.017351
588,0.78369
589,1.077
590,1.4703
591,-0.24093
592,0.40435
593,0.097582
594,0.20166
595,1.95
596,0.79519
597,0.43977
598,0.1998
599,0.24408
600,-0.030429
601,0.741
602,0.74508
603,0.6969
604,1.0461
605,0.86812
606,1.1856
607,0.74508
608,0.44459
609,0.049067
610,1.5602
611,1.2522
612,1.2148
613,0.45817
614,0.064242
615,-0.30412
616,0.23385
617,0.18068
618,0.72609
619,0.76546
620,1.0069
621,1.1521
622,0.019185
623,0.25817
624,0.6884
625,0.80615
626,0.053551
627,1.0866
628,0.71397
629,0.79885
630,2.2585
631,-0.2668
632,-0.17941
633,1.2737
634,0.37966
635,0.721
636,0.72514
637,0.82172
638,-0.089081
639,1.1818
640,0.8423
641,0.29866
642,0.046932
643,1.0073
644,1.2196
645,0.31977
646,1.4352
647,1.7281
648,0.61057
649,0.25106
650,1.0482
651,0.71554
652,-0.017114
653,0.53389
654,1.1875
655,0.70004
656,0.7966
657,0.48457
658,0.04826
659,0.39993
660,0.99865
661,0.80958
662,0.24115
663,0.41942
664,-0.091476
665,0.87122
666,0.24008
667,0.14719
668,1.1961
669,0.83206
670,1.6239
671,-0.47868
672,0.64431
673,0.53135
674,0.39287
675,-0.066404
676,0.73361
677,1.3111
678,0.19472
679,0.48394
680,0.88652
681,0.23739
682,0.084052
683,1.3592
684,-0.023791
685,0.57363
686,0.65694
687,1.1791
688,0.29583
689,0.23692
690,0.27387
691,-0.028044
692,-0.15495
693,1.3722
694,0.737
695,0.76297
696,0.39101
697,1.4888
698,1.4498
699,0.41826
700,0.39731
701,-0.11777
702,0.79704
703,0.85781
704,-0.34699
705,1.5836
706,0.77569
707,0.21747
708,0.83863
709,0.35286
710,1.1205
711,0.7338
712,0.05123
713,0.40902
714,0.6561
715,0.21116
716,1.0445
717,-0.024911
718,0.070887
719,0.20854
720,1.0676
721,1.2569
722,0.91545
723,1.4666
724,1.1372
725,0.56878
726,-0.13251
727,1.6961
